Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_T103_001,SE_T103_002,SE_T103_003,SE_T103_004,SE_T103_005,SE_T103_006,ACS15_5yr_B25074001,ACS15_5yr_B25074002,ACS15_5yr_B25074003,ACS15_5yr_B25074004,ACS15_5yr_B25074005,ACS15_5yr_B25074006,ACS15_5yr_B25074007,ACS15_5yr_B25074008,ACS15_5yr_B25074009,ACS15_5yr_B25074010,ACS15_5yr_B25074011,ACS15_5yr_B25074012,ACS15_5yr_B25074013,ACS15_5yr_B25074014,ACS15_5yr_B25074015,ACS15_5yr_B25074016,ACS15_5yr_B25074017,ACS15_5yr_B25074018,ACS15_5yr_B25074019,ACS15_5yr_B25074020,ACS15_5yr_B25074021,ACS15_5yr_B25074022,ACS15_5yr_B25074023,ACS15_5yr_B25074024,ACS15_5yr_B25074025,ACS15_5yr_B25074026,ACS15_5yr_B25074027,ACS15_5yr_B25074028,ACS15_5yr_B25074029,ACS15_5yr_B25074030,ACS15_5yr_B25074031,ACS15_5yr_B25074032,ACS15_5yr_B25074033,ACS15_5yr_B25074034,ACS15_5yr_B25074035,ACS15_5yr_B25074036,ACS15_5yr_B25074037,ACS15_5yr_B25074038,ACS15_5yr_B25074039,ACS15_5yr_B25074040,ACS15_5yr_B25074041,ACS15_5yr_B25074042,ACS15_5yr_B25074043,ACS15_5yr_B25074044,ACS15_5yr_B25074045,ACS15_5yr_B25074046,ACS15_5yr_B25074047,ACS15_5yr_B25074048,ACS15_5yr_B25074049,ACS15_5yr_B25074050,ACS15_5yr_B25074051,ACS15_5yr_B25074052,ACS15_5yr_B25074053,ACS15_5yr_B25074054,ACS15_5yr_B25074055,ACS15_5yr_B25074056,ACS15_5yr_B25074057,ACS15_5yr_B25074058,ACS15_5yr_B25074059,ACS15_5yr_B25074060,ACS15_5yr_B25074061,ACS15_5yr_B25074062,ACS15_5yr_B25074063,ACS15_5yr_B25074064,ACS15_5yr_B25074001s,ACS15_5yr_B25074002s,ACS15_5yr_B25074003s,ACS15_5yr_B25074004s,ACS15_5yr_B25074005s,ACS15_5yr_B25074006s,ACS15_5yr_B25074007s,ACS15_5yr_B25074008s,ACS15_5yr_B25074009s,ACS15_5yr_B25074010s,ACS15_5yr_B25074011s,ACS15_5yr_B25074012s,ACS15_5yr_B25074013s,ACS15_5yr_B25074014s,ACS15_5yr_B25074015s,ACS15_5yr_B25074016s,ACS15_5yr_B25074017s,ACS15_5yr_B25074018s,ACS15_5yr_B25074019s,ACS15_5yr_B25074020s,ACS15_5yr_B25074021s,ACS15_5yr_B25074022s,ACS15_5yr_B25074023s,ACS15_5yr_B25074024s,ACS15_5yr_B25074025s,ACS15_5yr_B25074026s,ACS15_5yr_B25074027s,ACS15_5yr_B25074028s,ACS15_5yr_B25074029s,ACS15_5yr_B25074030s,ACS15_5yr_B25074031s,ACS15_5yr_B25074032s,ACS15_5yr_B25074033s,ACS15_5yr_B25074034s,ACS15_5yr_B25074035s,ACS15_5yr_B25074036s,ACS15_5yr_B25074037s,ACS15_5yr_B25074038s,ACS15_5yr_B25074039s,ACS15_5yr_B25074040s,ACS15_5yr_B25074041s,ACS15_5yr_B25074042s,ACS15_5yr_B25074043s,ACS15_5yr_B25074044s,ACS15_5yr_B25074045s,ACS15_5yr_B25074046s,ACS15_5yr_B25074047s,ACS15_5yr_B25074048s,ACS15_5yr_B25074049s,ACS15_5yr_B25074050s,ACS15_5yr_B25074051s,ACS15_5yr_B25074052s,ACS15_5yr_B25074053s,ACS15_5yr_B25074054s,ACS15_5yr_B25074055s,ACS15_5yr_B25074056s,ACS15_5yr_B25074057s,ACS15_5yr_B25074058s,ACS15_5yr_B25074059s,ACS15_5yr_B25074060s,ACS15_5yr_B25074061s,ACS15_5yr_B25074062s,ACS15_5yr_B25074063s,ACS15_5yr_B25074064s,ACS15_5yr_B25101001,ACS15_5yr_B25101002,ACS15_5yr_B25101003,ACS15_5yr_B25101004,ACS15_5yr_B25101005,ACS15_5yr_B25101006,ACS15_5yr_B25101007,ACS15_5yr_B25101008,ACS15_5yr_B25101009,ACS15_5yr_B25101010,ACS15_5yr_B25101011,ACS15_5yr_B25101012,ACS15_5yr_B25101013,ACS15_5yr_B25101014,ACS15_5yr_B25101015,ACS15_5yr_B25101016,ACS15_5yr_B25101017,ACS15_5yr_B25101018,ACS15_5yr_B25101019,ACS15_5yr_B25101020,ACS15_5yr_B25101021,ACS15_5yr_B25101022,ACS15_5yr_B25101023,ACS15_5yr_B25101024,ACS15_5yr_B25101025,ACS15_5yr_B25101026,ACS15_5yr_B25101027,ACS15_5yr_B25101028,ACS15_5yr_B25101029,ACS15_5yr_B25101030,ACS15_5yr_B25101031,ACS15_5yr_B25101032,ACS15_5yr_B25101033,ACS15_5yr_B25101034,ACS15_5yr_B25101035,ACS15_5yr_B25101036,ACS15_5yr_B25101037,ACS15_5yr_B25101038,ACS15_5yr_B25101039,ACS15_5yr_B25101040,ACS15_5yr_B25101041,ACS15_5yr_B25101042,ACS15_5yr_B25101043,ACS15_5yr_B25101044,ACS15_5yr_B25101045,ACS15_5yr_B25101001s,ACS15_5yr_B25101002s,ACS15_5yr_B25101003s,ACS15_5yr_B25101004s,ACS15_5yr_B25101005s,ACS15_5yr_B25101006s,ACS15_5yr_B25101007s,ACS15_5yr_B25101008s,ACS15_5yr_B25101009s,ACS15_5yr_B25101010s,ACS15_5yr_B25101011s,ACS15_5yr_B25101012s,ACS15_5yr_B25101013s,ACS15_5yr_B25101014s,ACS15_5yr_B25101015s,ACS15_5yr_B25101016s,ACS15_5yr_B25101017s,ACS15_5yr_B25101018s,ACS15_5yr_B25101019s,ACS15_5yr_B25101020s,ACS15_5yr_B25101021s,ACS15_5yr_B25101022s,ACS15_5yr_B25101023s,ACS15_5yr_B25101024s,ACS15_5yr_B25101025s,ACS15_5yr_B25101026s,ACS15_5yr_B25101027s,ACS15_5yr_B25101028s,ACS15_5yr_B25101029s,ACS15_5yr_B25101030s,ACS15_5yr_B25101031s,ACS15_5yr_B25101032s,ACS15_5yr_B25101033s,ACS15_5yr_B25101034s,ACS15_5yr_B25101035s,ACS15_5yr_B25101036s,ACS15_5yr_B25101037s,ACS15_5yr_B25101038s,ACS15_5yr_B25101039s,ACS15_5yr_B25101040s,ACS15_5yr_B25101041s,ACS15_5yr_B25101042s,ACS15_5yr_B25101043s,ACS15_5yr_B25101044s,ACS15_5yr_B25101045s
"27003","05000US27003","Anoka County, Minnesota","Anoka County, Minnesota","mn","050","00","ACSSF","0000014",,,,,"27","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24955,582,10938,6087,6147,1201,24955,2203,18,0,80,54,12,38,1575,426,3984,153,137,129,181,69,260,2983,72,5291,160,304,302,822,993,1233,1220,257,4493,266,890,1106,658,544,523,289,217,5340,1960,1364,1216,440,119,48,71,122,1802,1087,460,119,45,6,30,9,46,1842,1626,113,30,0,12,0,0,61,458.181818181818,195.757575757575,12.1212121212121,12.1212121212121,46.060606060606,23.6363636363636,9.09090909090909,23.6363636363636,138.181818181818,83.6363636363636,207.272727272727,46.6666666666666,37.5757575757575,26.060606060606,44.8484848484848,24.8484848484848,51.5151515151515,199.393939393939,23.030303030303,253.333333333333,45.4545454545454,65.4545454545454,60.6060606060606,109.696969696969,110.90909090909,129.696969696969,130.30303030303,64.8484848484848,243.030303030303,50.9090909090909,118.787878787878,138.787878787878,81.2121212121212,106.666666666666,85.4545454545454,83.030303030303,61.2121212121212,309.090909090909,154.545454545454,158.787878787878,172.727272727272,82.4242424242424,38.1818181818181,38.7878787878787,30.3030303030303,35.1515151515151,146.060606060606,121.818181818181,78.1818181818182,53.9393939393939,25.4545454545454,5.45454545454545,30.3030303030303,8.48484848484848,19.3939393939393,164.848484848484,156.363636363636,36.3636363636363,17.5757575757575,12.1212121212121,12.1212121212121,12.1212121212121,12.1212121212121,24.2424242424242,99522,75181,2179,0,6,2173,4193,101,396,3696,7208,437,1770,5001,14829,2856,6634,5339,46493,29517,14263,2713,279,24341,2941,202,514,2225,3976,1820,1643,513,3965,3543,410,12,4821,4723,79,19,8469,8446,23,0,169,474.545454545454,521.212121212121,141.212121212121,12.1212121212121,4.84848484848484,143.030303030303,226.666666666666,32.7272727272727,58.7878787878788,206.666666666666,285.454545454545,73.9393939393939,190.30303030303,224.242424242424,386.666666666666,153.939393939393,265.454545454545,255.151515151515,475.151515151515,472.727272727272,356.969696969697,184.848484848484,53.3333333333333,438.181818181818,153.333333333333,40,78.1818181818182,141.212121212121,187.878787878787,116.363636363636,118.787878787878,72.1212121212121,199.393939393939,188.484848484848,65.4545454545454,9.09090909090909,215.151515151515,216.969696969697,30.9090909090909,13.3333333333333,289.090909090909,289.696969696969,13.9393939393939,12.1212121212121,41.2121212121212
"27019","05000US27019","Carver County, Minnesota","Carver County, Minnesota","mn","050","00","ACSSF","0000022",,,,,"27","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6767,205,3377,1692,1168,325,6767,529,0,0,14,9,41,30,355,80,837,36,46,54,73,47,41,512,28,1459,78,122,196,269,142,317,272,63,1032,106,219,311,131,97,133,16,19,1446,485,429,218,131,105,34,13,31,712,386,196,24,53,39,0,0,14,752,578,84,0,0,0,0,0,90,224.242424242424,101.212121212121,12.1212121212121,12.1212121212121,12.7272727272727,8.48484848484848,30.9090909090909,21.2121212121212,86.060606060606,41.8181818181818,110.30303030303,20,17.5757575757575,24.2424242424242,32.7272727272727,40,16.9696969696969,98.1818181818182,12.7272727272727,159.393939393939,49.0909090909091,52.7272727272727,77.5757575757575,84.2424242424242,43.030303030303,73.9393939393939,71.5151515151515,42.4242424242424,127.272727272727,49.6969696969697,69.6969696969697,84.8484848484848,45.4545454545454,42.4242424242424,37.5757575757575,13.3333333333333,6.06060606060606,164.242424242424,101.212121212121,100.60606060606,59.3939393939394,41.2121212121212,45.4545454545454,21.8181818181818,9.09090909090909,16.3636363636363,108.484848484848,67.8787878787878,72.7272727272727,19.3939393939393,30.9090909090909,33.3333333333333,12.1212121212121,12.1212121212121,13.3333333333333,118.181818181818,90.9090909090909,29.0909090909091,12.1212121212121,12.1212121212121,12.1212121212121,12.1212121212121,12.1212121212121,58.1818181818182,27654,21411,433,1,56,376,792,27,94,671,1289,110,313,866,3087,395,1160,1532,15778,8767,5405,1606,32,6243,674,35,115,524,822,301,355,166,1030,761,235,34,1124,1065,53,6,2578,2570,5,3,15,245.454545454545,287.272727272727,75.7575757575757,1.21212121212121,38.7878787878787,65.4545454545454,107.272727272727,26.060606060606,33.9393939393939,90.9090909090909,124.848484848484,49.6969696969697,51.5151515151515,110.30303030303,186.060606060606,61.8181818181818,102.424242424242,152.121212121212,298.787878787878,254.545454545454,208.484848484848,139.393939393939,17.5757575757575,224.242424242424,88.4848484848484,15.7575757575757,49.6969696969697,91.5151515151515,89.6969696969697,58.1818181818182,60.6060606060606,33.9393939393939,106.060606060606,100,47.2727272727272,12.1212121212121,105.454545454545,103.030303030303,17.5757575757575,4.84848484848484,137.575757575757,137.575757575757,3.63636363636363,3.63636363636363,6.06060606060606
"27037","05000US27037","Dakota County, Minnesota","Dakota County, Minnesota","mn","050","00","ACSSF","0000031",,,,,"27","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39515,990,19466,9553,7944,1562,39515,3374,42,42,124,111,64,149,2276,566,5525,55,86,340,558,296,804,3252,134,7889,242,429,762,1085,1251,1941,1961,218,6533,480,1660,1796,960,554,534,378,171,8433,3145,2511,1413,568,291,197,77,231,4409,2651,1271,203,139,0,6,0,139,3352,2774,340,90,29,16,0,0,103,571.515151515151,250.30303030303,30.9090909090909,26.6666666666666,43.030303030303,46.060606060606,37.5757575757575,79.3939393939394,205.454545454545,109.696969696969,269.090909090909,23.030303030303,32.1212121212121,70.9090909090909,104.848484848484,69.6969696969697,116.969696969697,229.090909090909,40,335.151515151515,61.2121212121212,93.9393939393939,114.545454545454,107.272727272727,138.181818181818,190.30303030303,166.666666666666,56.3636363636363,302.424242424242,82.4242424242424,166.666666666666,161.818181818181,129.090909090909,101.212121212121,91.5151515151515,58.1818181818182,52.1212121212121,321.212121212121,227.878787878787,198.181818181818,155.757575757575,91.5151515151515,60.6060606060606,47.8787878787878,44.8484848484848,46.060606060606,269.090909090909,216.363636363636,165.454545454545,56.9696969696969,54.5454545454545,12.1212121212121,6.06060606060606,12.1212121212121,50.3030303030303,275.757575757575,238.181818181818,63.6363636363636,49.6969696969697,16.3636363636363,15.7575757575757,12.1212121212121,12.1212121212121,30.9090909090909,116951,89246,2239,13,0,2226,4705,106,258,4341,6922,388,1635,4899,15826,2940,6788,6098,59266,37228,17679,4359,288,27705,2721,254,392,2075,3569,1566,1208,795,4006,3239,673,94,5345,5163,168,14,11851,11825,16,10,213,592.727272727272,659.393939393939,143.636363636363,12.7272727272727,12.1212121212121,142.424242424242,272.727272727272,42.4242424242424,49.6969696969697,256.363636363636,262.424242424242,72.7272727272727,150.30303030303,227.878787878787,436.363636363636,167.878787878787,321.212121212121,289.696969696969,647.878787878787,561.818181818181,437.575757575757,280.60606060606,70.3030303030303,498.787878787878,150.90909090909,54.5454545454545,58.7878787878788,156.969696969696,186.666666666666,114.545454545454,122.424242424242,84.8484848484848,189.696969696969,157.575757575757,112.727272727272,44.8484848484848,261.212121212121,246.666666666666,65.4545454545454,9.09090909090909,346.060606060606,344.242424242424,9.09090909090909,10.9090909090909,49.0909090909091
"27053","05000US27053","Hennepin County, Minnesota","Hennepin County, Minnesota","mn","050","00","ACSSF","0000039",,,,,"27","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182801,6172,85760,41175,43404,6290,182801,22655,456,413,1319,1403,638,917,14556,2953,28500,1432,1221,2257,1370,1082,2447,18078,613,35447,1423,1348,4710,5739,4773,7976,8682,796,27952,3027,6637,6699,4379,2986,2143,1571,510,31379,11912,8507,5214,2822,1130,626,465,703,16859,10642,4003,1315,273,133,108,52,333,20009,17257,1765,375,128,85,17,0,382,1047.27272727272,610.30303030303,100,86.6666666666666,141.818181818181,143.030303030303,113.939393939393,138.181818181818,490.909090909091,222.424242424242,734.545454545454,175.151515151515,160,151.515151515151,146.666666666666,147.272727272727,208.484848484848,577.575757575757,80.6060606060606,650.30303030303,149.696969696969,139.393939393939,306.060606060606,302.424242424242,255.757575757575,339.393939393939,341.212121212121,105.454545454545,650.30303030303,222.424242424242,292.727272727272,346.666666666666,249.696969696969,258.181818181818,200.60606060606,180,96.9696969696969,722.424242424242,447.878787878787,344.242424242424,298.787878787878,187.878787878787,126.060606060606,98.7878787878788,93.3333333333333,112.727272727272,530.30303030303,381.818181818181,269.696969696969,138.181818181818,53.9393939393939,43.6363636363636,36.9696969696969,24.8484848484848,76.9696969696969,594.545454545454,543.636363636363,167.272727272727,76.9696969696969,45.4545454545454,47.8787878787878,11.5151515151515,12.1212121212121,75.7575757575757,307395,223845,7067,24,48,6995,13163,161,724,12278,18973,948,4484,13541,37411,5423,16557,15431,146630,91134,43660,11836,601,83550,9392,572,1374,7446,13038,4585,5260,3193,11809,8997,1936,876,14514,13263,946,305,33997,33561,376,60,800,1141.81818181818,1207.87878787878,309.090909090909,13.9393939393939,23.6363636363636,307.272727272727,407.878787878787,40.6060606060606,90.3030303030303,415.757575757575,449.090909090909,104.242424242424,215.151515151515,393.939393939394,762.424242424242,272.121212121212,350.90909090909,499.393939393939,1055.75757575757,844.242424242424,763.030303030303,358.787878787878,89.6969696969697,849.696969696969,308.484848484848,78.1818181818182,116.969696969697,264.242424242424,333.333333333333,197.575757575757,196.969696969697,190.90909090909,372.121212121212,320,147.272727272727,99.3939393939394,346.666666666666,361.212121212121,100,56.3636363636363,619.393939393939,623.636363636363,64.2424242424242,21.8181818181818,89.6969696969697
"27123","05000US27123","Ramsey County, Minnesota","Ramsey County, Minnesota","mn","050","00","ACSSF","0000074",,,,,"27","123",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84740,2554,37297,20054,21530,3305,84740,11881,311,238,674,736,336,390,7728,1468,15150,647,581,1498,825,531,1737,8914,417,18651,888,995,2517,2750,3097,3626,4334,444,13737,1632,3956,3034,2020,1510,815,484,286,12986,6033,3542,1525,961,275,198,66,386,6471,4588,1252,319,103,25,69,4,111,5864,5128,355,138,30,20,0,0,193,712.727272727272,390.909090909091,64.2424242424242,56.3636363636363,119.393939393939,121.818181818181,76.3636363636363,104.848484848484,356.969696969697,122.424242424242,486.060606060606,106.060606060606,90.9090909090909,195.151515151515,111.515151515151,93.9393939393939,189.090909090909,396.363636363636,69.0909090909091,444.242424242424,121.212121212121,143.636363636363,201.212121212121,190.30303030303,212.121212121212,253.939393939394,263.636363636363,75.1515151515151,466.060606060606,157.575757575757,248.484848484848,240.60606060606,210.30303030303,175.151515151515,96.9696969696969,84.8484848484848,66.060606060606,413.333333333333,298.787878787878,240.60606060606,166.060606060606,110.90909090909,61.8181818181818,50.9090909090909,27.8787878787878,82.4242424242424,284.848484848484,279.393939393939,138.181818181818,79.3939393939394,43.6363636363636,18.1818181818181,30.3030303030303,4.84848484848484,40.6060606060606,286.060606060606,261.818181818181,75.7575757575757,44.2424242424242,22.4242424242424,19.3939393939393,12.1212121212121,12.1212121212121,42.4242424242424,122117,83962,2773,0,51,2722,5929,112,496,5321,8368,554,2168,5646,16228,2896,7350,5982,50431,32615,14243,3573,233,38155,4077,217,684,3176,6456,3020,2410,1026,5520,4580,748,192,7521,7135,341,45,14279,14102,142,35,302,693.939393939394,710.30303030303,147.878787878787,12.1212121212121,25.4545454545454,150.90909090909,303.636363636363,39.3939393939394,77.5757575757575,276.969696969697,279.393939393939,78.1818181818182,182.424242424242,253.333333333333,418.787878787878,172.121212121212,287.878787878787,290.30303030303,647.878787878787,576.363636363636,406.060606060606,186.060606060606,55.7575757575757,501.818181818181,195.151515151515,44.8484848484848,89.0909090909091,161.212121212121,272.727272727272,179.393939393939,171.515151515151,116.363636363636,254.545454545454,251.515151515151,80.6060606060606,44.2424242424242,266.666666666666,261.212121212121,61.2121212121212,24.2424242424242,374.545454545454,375.151515151515,46.060606060606,19.3939393939393,66.6666666666666
"27139","05000US27139","Scott County, Minnesota","Scott County, Minnesota","mn","050","00","ACSSF","0000082",,,,,"27","139",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7896,255,3855,1776,1648,362,7896,630,1,0,49,64,15,20,423,58,1275,98,100,85,57,68,104,661,102,1435,89,36,114,200,146,331,476,43,1311,33,344,358,213,161,88,57,57,1468,498,366,273,106,114,41,16,54,896,387,334,86,20,14,14,0,41,881,733,103,23,0,0,0,15,7,343.636363636363,98.7878787878788,1.81818181818181,12.1212121212121,21.8181818181818,40.6060606060606,13.3333333333333,20,81.2121212121212,22.4242424242424,145.454545454545,41.2121212121212,33.9393939393939,43.6363636363636,24.8484848484848,37.5757575757575,41.8181818181818,117.575757575757,52.7272727272727,169.090909090909,35.7575757575757,22.4242424242424,41.2121212121212,58.7878787878788,42.4242424242424,78.1818181818182,107.878787878787,24.2424242424242,175.757575757575,15.1515151515151,96.3636363636364,89.0909090909091,68.4848484848484,45.4545454545454,39.3939393939394,26.060606060606,27.8787878787878,155.151515151515,95.1515151515151,80,67.8787878787878,48.4848484848484,44.2424242424242,23.030303030303,10.9090909090909,24.8484848484848,109.090909090909,75.7575757575757,89.0909090909091,40.6060606060606,17.5757575757575,12.7272727272727,13.3333333333333,12.1212121212121,21.2121212121212,134.545454545454,124.848484848484,33.9393939393939,19.3939393939393,12.1212121212121,12.1212121212121,12.1212121212121,14.5454545454545,5.45454545454545,38909,30728,562,0,14,548,1114,40,23,1051,1895,167,407,1321,4953,591,1993,2369,22107,12866,7052,2189,97,8181,889,29,147,713,1223,399,516,308,903,742,124,37,1543,1486,57,0,3564,3564,0,0,59,348.484848484848,406.060606060606,89.0909090909091,12.1212121212121,14.5454545454545,88.4848484848484,119.393939393939,25.4545454545454,10.3030303030303,119.393939393939,146.666666666666,53.3333333333333,70.9090909090909,130.30303030303,259.393939393939,118.181818181818,151.515151515151,206.060606060606,401.212121212121,403.030303030303,269.696969696969,164.848484848484,39.3939393939394,232.727272727272,109.090909090909,12.1212121212121,43.6363636363636,91.5151515151515,127.878787878787,58.1818181818182,75.7575757575757,76.9696969696969,82.4242424242424,78.1818181818182,32.1212121212121,19.3939393939393,119.393939393939,118.787878787878,23.6363636363636,12.1212121212121,193.939393939393,193.939393939393,12.1212121212121,12.1212121212121,25.4545454545454
"27163","05000US27163","Washington County, Minnesota","Washington County, Minnesota","mn","050","00","ACSSF","0000094",,,,,"27","163",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18068,690,8309,4085,3872,1112,18068,1380,0,20,73,52,23,71,733,408,2816,138,148,163,93,96,155,1842,181,3204,118,131,230,426,355,755,983,206,2407,230,225,508,432,381,375,213,43,3647,872,1254,563,317,348,103,98,92,2026,1069,621,181,25,4,33,3,90,2588,2159,238,58,0,11,30,0,92,453.939393939394,144.242424242424,12.1212121212121,12.7272727272727,35.1515151515151,24.8484848484848,12.7272727272727,31.5151515151515,114.545454545454,90.9090909090909,201.212121212121,49.0909090909091,60,36.3636363636363,30.9090909090909,41.2121212121212,52.7272727272727,181.818181818181,46.6666666666666,225.454545454545,49.0909090909091,34.5454545454545,56.3636363636363,90.3030303030303,86.060606060606,104.848484848484,132.121212121212,66.060606060606,239.393939393939,61.8181818181818,56.9696969696969,100,92.7272727272727,84.2424242424242,73.9393939393939,64.2424242424242,20.6060606060606,235.757575757575,113.939393939393,130.30303030303,100,72.1212121212121,81.2121212121212,36.3636363636363,60,27.8787878787878,242.424242424242,172.727272727272,134.545454545454,66.060606060606,12.7272727272727,3.63636363636363,21.2121212121212,3.03030303030303,29.6969696969697,216.969696969697,209.696969696969,51.5151515151515,18.7878787878787,12.1212121212121,10.3030303030303,20.6060606060606,12.1212121212121,32.7272727272727,72864,54364,1412,0,3,1409,2488,43,161,2284,4181,396,894,2891,8987,1399,3705,3883,37191,22829,11278,3084,105,18500,1785,148,403,1234,2179,919,891,369,2504,2104,366,34,3313,3175,130,8,8611,8570,39,2,108,503.030303030303,526.060606060606,129.090909090909,12.1212121212121,2.42424242424242,129.090909090909,164.848484848484,21.8181818181818,47.8787878787878,165.454545454545,227.272727272727,95.1515151515151,123.636363636363,183.030303030303,373.939393939393,158.787878787878,252.727272727272,221.818181818181,497.575757575757,515.757575757575,360,244.848484848484,33.9393939393939,406.060606060606,132.727272727272,35.1515151515151,70.9090909090909,103.636363636363,166.060606060606,95.7575757575757,101.212121212121,49.0909090909091,158.787878787878,155.151515151515,55.1515151515151,15.1515151515151,198.787878787878,186.666666666666,41.8181818181818,4.24242424242424,286.666666666666,289.090909090909,21.2121212121212,1.81818181818181,29.0909090909091
