incomeband,nocb,cb,xcb
"Less than $10,000",3874,5173,27646
"$10,000 to $19,999",9404,10894,36242
"$20,000 to $34,999",15194,38227,17928
"$35,000 to $49,999",33517,19637,3008
"$50,000 to $74,999",53300,8974,806
"$75,000 to $99,999",31194,1139,68
"$100,000 or More",33967,378,15
